REGION,PROV_CODE,PROV_NAME,DIST_CODE,DIST_NAME,INC_DATE,INC_TYPE,Persons_killed,Persons_injured,Individuals_affected,Families_affected,Houses_damaged,Houses_destroyed,Season,Latitude,Longitude
South Eastern,26,Khost,2610,Shamal,2022-06-22,Earthquake,2,3,1265,163,137,40,Summer,33.321153,69.533903
South Eastern,25,Paktika,2516,Gyan,2022-06-22,Earthquake,340,982,41034,5355,1556,3752,Summer,32.964522,69.416328
Eastern,7,Laghman,704,Alingar,2022-06-22,Flood / flash flood,0,0,118,16,15,1,Summer,34.833038,70.425705
South Eastern,25,Paktika,2517,Ziruk,2022-06-22,Earthquake,2,0,3909,580,288,292,Summer,33.166203,69.38278
Eastern,7,Laghman,702,Alishang,2022-06-22,Flood / flash flood,0,0,161,30,30,0,Summer,34.866429,70.072183
Eastern,6,Nangarhar,614,Kot,2022-06-22,Flood / flash flood,0,0,75,9,4,5,Summer,34.304829,70.721243
Eastern,6,Nangarhar,614,Kot,2022-06-24,Flood / flash flood,1,0,308,44,44,0,Summer,34.304829,70.721243
Capital,5,Logar,502,Khoshi,2022-07-05,Flood / flash flood,0,0,128,17,17,0,Summer,33.992404,69.292073
Capital,5,Logar,504,Barakibarak,2022-07-05,Flood / flash flood,0,0,48,7,5,2,Summer,33.901933,68.892873
South Eastern,12,Paktya,1203,Ahmadaba,2022-07-05,Flood / flash flood,1,0,91,13,12,0,Summer,33.784922,69.345758
Capital,2,Kapisa,205,Tagab,2022-07-05,Flood / flash flood,0,0,104,15,15,0,Summer,34.803659,69.649529
Capital,3,Parwan,309,Shekhali,2022-07-05,Flood / flash flood,1,8,45,7,7,0,Summer,34.961071,68.393194
Capital,5,Logar,506,Kharwar,2022-07-05,Flood / flash flood,0,0,36,5,4,1,Summer,33.702837,68.890243
Capital,2,Kapisa,207,Hisa-e- Awal-e- Kohestan,2022-07-05,Flood / flash flood,0,0,49,7,7,0,Summer,35.135942,69.334935
South Eastern,11,Ghazni,1108,Rashidan,2022-07-05,Flood / flash flood,2,1,38,4,4,0,Summer,33.705739,68.192805
Capital,5,Logar,501,Pul-e-Alam,2022-07-05,Flood / flash flood,1,1,294,41,15,26,Summer,33.991566,69.046969
Capital,3,Parwan,310,Surkh-e- Parsa,2022-07-05,Flood / flash flood,0,0,254,40,20,20,Summer,34.742986,68.643355
Capital,3,Parwan,307,Ghorband,2022-07-05,Flood / flash flood,1,2,287,41,40,1,Summer,34.987058,68.799341
Capital,5,Logar,505,Charkh,2022-07-05,Flood / flash flood,0,0,71,10,7,3,Summer,33.822766,68.903957
Capital,3,Parwan,308,Koh-e-Safi,2022-07-05,Flood / flash flood,0,0,26,4,4,4,Summer,34.754573,69.468075
Eastern,14,Nuristan,1405,Wama,2022-07-06,Flood / flash flood,7,0,91,13,13,0,Summer,35.107368,70.719288
South Eastern,11,Ghazni,1106,Dehyak,2022-07-07,Flood / flash flood,0,0,421,21,21,0,Summer,33.483589,68.702913
Eastern,7,Laghman,704,Alingar,2022-07-07,Flood / flash flood,1,2,257,26,26,0,Summer,34.833038,70.425705
Southern,24,Zabul,2409,Atghar,2022-07-07,Flood / flash flood,0,0,352,33,26,7,Summer,31.727599,67.33124
Southern,24,Zabul,2408,Daychopan,2022-07-07,Flood / flash flood,11,0,107,11,11,0,Summer,32.622724,66.690931
Southern,24,Zabul,2410,Shomulzay,2022-07-07,Flood / flash flood,1,0,508,57,51,6,Summer,31.834888,67.776621
Southern,24,Zabul,2402,Arghandab,2022-07-07,Flood / flash flood,0,0,150,19,19,0,Summer,32.499332,66.919664
Southern,24,Zabul,2405,Shinkay,2022-07-07,Flood / flash flood,0,0,80,9,9,0,Summer,31.933383,67.180964
South Eastern,11,Ghazni,1114,Muqur,2022-07-07,Flood / flash flood,0,0,32,2,2,0,Summer,32.92536,67.796249
Eastern,7,Laghman,702,Alishang,2022-07-07,Flood / flash flood,0,0,50,8,8,0,Summer,34.866429,70.072183
Eastern,7,Laghman,701,Mehtarlam,2022-07-07,Flood / flash flood,0,0,553,57,57,0,Summer,34.666954,70.071718
Southern,24,Zabul,2401,Qalat,2022-07-07,Flood / flash flood,0,0,190,20,16,4,Summer,32.187366,66.953465
Southern,33,Kandahar,3312,Arghestan,2022-07-08,Flood / flash flood,0,0,287,30,28,2,Summer,31.546578,66.647432
Southern,23,Uruzgan,2305,Khasuruzgan,2022-07-08,Flood / flash flood,0,4,94,11,11,0,Summer,32.977052,66.72913
Central Highland,22,Daykundi,2205,Gizab,2022-07-08,Flood / flash flood,6,0,336,36,0,0,Summer,33.416592,66.183184
Southern,33,Kandahar,3313,Miyanshin,2022-07-08,Flood / flash flood,0,0,191,23,23,0,Summer,32.398281,66.324313
Southern,23,Uruzgan,2302,Chora,2022-07-08,Flood / flash flood,0,0,856,91,88,3,Summer,33.02258,66.239689
Southern,33,Kandahar,3306,Shahwalikot,2022-07-08,Flood / flash flood,16,2,254,24,21,0,Summer,32.139936,66.033262
Southern,33,Kandahar,3316,Maruf,2022-07-08,Flood / flash flood,5,14,62,5,3,2,Summer,31.489195,67.274402
South Eastern,25,Paktika,2501,Sharan,2022-07-09,Flood / flash flood,0,0,63,9,0,0,Summer,33.21275,68.747296
South Eastern,25,Paktika,2510,Urgun,2022-07-09,Flood / flash flood,0,0,84,16,16,0,Summer,32.963344,69.206727
South Eastern,11,Ghazni,1107,Zanakhan,2022-07-10,Flood / flash flood,3,1,59,6,4,2,Summer,33.678994,68.648645
South Eastern,11,Ghazni,1106,Dehyak,2022-07-10,Flood / flash flood,0,0,144,8,8,0,Summer,33.483589,68.702913
South Eastern,12,Paktya,1204,Zurmat,2022-07-10,Flood / flash flood,0,0,161,23,20,3,Summer,33.422467,69.017192
South Eastern,11,Ghazni,1112,Nawur,2022-07-10,Flood / flash flood,0,0,171,23,23,0,Summer,33.799362,67.787358
South Eastern,11,Ghazni,1118,Gelan,2022-07-10,Flood / flash flood,0,0,16,2,2,0,Summer,32.69335,67.670183
South Eastern,12,Paktya,1203,Ahmadaba,2022-07-10,Flood / flash flood,0,0,90,12,12,0,Summer,33.784922,69.345758
South Eastern,11,Ghazni,1101,Ghazni,2022-07-10,Flood / flash flood,5,14,1555,226,211,15,Summer,33.541807,68.441991
South Eastern,12,Paktya,1201,Gardez,2022-07-10,Flood / flash flood,0,2,635,82,51,31,Summer,33.599864,69.229343
Eastern,13,Kunar,1304,Sarkani,2022-07-17,Flood / flash flood,0,0,36,6,6,0,Summer,34.705403,71.086416
Eastern,13,Kunar,1314,Nurgal,2022-07-17,Flood / flash flood,0,0,154,22,22,0,Summer,34.700584,70.728239
South Eastern,12,Paktya,1206,Zadran,2022-07-18,Earthquake,0,0,18,2,1,1,Summer,33.416216,69.424522
Capital,5,Logar,502,Khoshi,2022-07-23,Flood / flash flood,0,0,69,7,6,1,Summer,33.992404,69.292073
Eastern,13,Kunar,1304,Sarkani,2022-07-23,Flood / flash flood,0,0,7,1,1,0,Summer,34.705403,71.086416
South Eastern,26,Khost,2602,Sabari,2022-07-23,Flood / flash flood,0,0,491,59,55,0,Summer,33.492199,69.952329
Capital,4,Wardak,404,Hesa-e- Awal-e- Behsud,2022-07-23,Flood / flash flood,0,0,106,16,0,16,Summer,34.482046,68.174585
Capital,5,Logar,501,Pul-e-Alam,2022-07-23,Flood / flash flood,0,0,1484,212,99,113,Summer,33.991566,69.046969
Eastern,13,Kunar,1301,Asadabad,2022-07-23,Flood / flash flood,0,0,105,15,15,0,Summer,34.859883,71.117064
Eastern,13,Kunar,1308,Chawkay,2022-07-23,Flood / flash flood,0,0,52,8,8,0,Summer,34.745481,70.862733
Eastern,13,Kunar,1314,Nurgal,2022-07-23,Flood / flash flood,0,0,105,15,11,4,Summer,34.700584,70.728239
Eastern,13,Kunar,1309,Khaskunar,2022-07-23,Flood / flash flood,0,0,49,6,6,0,Summer,34.599138,70.919872
Eastern,13,Kunar,1305,Marawara,2022-07-23,Flood / flash flood,0,0,89,12,12,0,Summer,34.856211,71.219828
Capital,4,Wardak,406,Chak,2022-07-23,Flood / flash flood,0,0,186,26,19,7,Summer,34.085404,68.516192
Capital,4,Wardak,407,Saydabad,2022-07-23,Flood / flash flood,0,0,75,13,12,1,Summer,33.934723,68.676363
Capital,4,Wardak,403,Nerkh,2022-07-23,Flood / flash flood,0,0,177,17,9,18,Summer,34.326461,68.771485
Capital,4,Wardak,402,Jalrez,2022-07-23,Flood / flash flood,1,0,455,75,43,32,Summer,34.521442,68.589387
Capital,4,Wardak,401,Maydanshahr,2022-07-23,Flood / flash flood,0,0,92,12,12,0,Summer,34.464309,68.848882
Eastern,6,Nangarhar,602,Behsud,2022-07-24,Flood / flash flood,0,0,343,49,49,0,Summer,34.423905,70.520494
Eastern,6,Nangarhar,601,Jalalabad,2022-07-24,Flood / flash flood,0,0,2157,218,208,10,Summer,34.419822,70.436525
Eastern,6,Nangarhar,619,Muhmand Dara,2022-07-24,Flood / flash flood,0,0,7,1,1,0,Summer,34.225081,70.971158
Eastern,6,Nangarhar,615,Batikot,2022-07-24,Flood / flash flood,0,2,3129,447,295,152,Summer,34.304829,70.721243
Eastern,6,Nangarhar,604,Khogyani,2022-07-24,Flood / flash flood,0,0,7,1,1,0,Summer,34.446776,70.68128
South Eastern,26,Khost,2612,Bak,2022-07-24,Flood / flash flood,0,0,262,31,31,0,Summer,33.546179,70.038518
Eastern,6,Nangarhar,610,Hesarak,2022-07-24,Flood / flash flood,0,0,21,3,3,0,Summer,34.24617,69.743543
Eastern,7,Laghman,702,Alishang,2022-07-24,Flood / flash flood,0,0,70,10,10,0,Summer,34.866429,70.072183
Eastern,6,Nangarhar,618,Shinwar,2022-07-24,Flood / flash flood,0,0,616,88,88,0,Summer,34.205904,70.816901
South Eastern,26,Khost,2602,Sabari,2022-07-24,Flood / flash flood,0,0,146,16,16,0,Summer,33.492199,69.952329
Eastern,7,Laghman,704,Alingar,2022-07-24,Flood / flash flood,0,0,50,7,4,3,Summer,34.833038,70.425705
Eastern,6,Nangarhar,617,Achin,2022-07-24,Flood / flash flood,0,4,19,14,14,0,Summer,34.056653,70.650371
Eastern,6,Nangarhar,609,Dara-e-Nur,2022-07-24,Flood / flash flood,0,0,63,9,9,0,Summer,34.717402,70.599527
North Eastern,15,Badakhshan,1520,Yamgan,2022-07-24,Flood / flash flood,0,0,210,30,0,0,Summer,36.432054,70.7846
Eastern,6,Nangarhar,603,Surkhrod,2022-07-24,Flood / flash flood,0,0,28,4,4,0,Summer,34.420676,70.317617
South Eastern,26,Khost,2613,Jajimaydan,2022-07-24,Flood / flash flood,0,2,1913,261,248,13,Summer,33.612562,70.072186
Eastern,6,Nangarhar,606,Rodat,2022-07-24,Flood / flash flood,4,1,315,45,45,0,Summer,34.256662,70.550781
Eastern,6,Nangarhar,616,Goshta,2022-07-24,Flood / flash flood,0,0,63,9,9,0,Summer,34.455504,70.877188
Eastern,7,Laghman,701,Mehtarlam,2022-07-24,Flood / flash flood,0,0,96,12,9,3,Summer,34.666954,70.071718
Eastern,6,Nangarhar,607,Kama,2022-07-24,Flood / flash flood,0,0,105,15,15,0,Summer,34.446776,70.68128
Eastern,13,Kunar,1304,Sarkani,2022-07-24,Flood / flash flood,0,0,7,1,1,0,Summer,34.705403,71.086416
Eastern,6,Nangarhar,608,Kuzkunar,2022-07-24,Flood / flash flood,0,0,238,34,34,0,Summer,34.579197,70.569434
South Eastern,12,Paktya,1202,Sayedkaram,2022-07-25,Flood / flash flood,0,0,147,19,18,0,Summer,33.731336,69.469893
Central Highland,10,Bamyan,1004,Panjab,2022-07-25,Flood / flash flood,0,0,280,40,0,3,Summer,34.38689,66.930673
South Eastern,12,Paktya,1204,Zurmat,2022-07-25,Flood / flash flood,0,0,528,58,7,0,Summer,33.422467,69.017192
South Eastern,12,Paktya,1201,Gardez,2022-07-25,Flood / flash flood,0,0,51,7,7,0,Summer,33.599864,69.229343
Capital,5,Logar,501,Pul-e-Alam,2022-07-25,Flood / flash flood,0,0,24,6,4,2,Summer,33.991566,69.046969
Central Highland,10,Bamyan,1007,Waras,2022-07-25,Flood / flash flood,0,0,1694,242,125,2,Summer,34.163208,66.930112
Western,31,Farah,3109,Gulestan,2022-07-25,Flood / flash flood,2,0,1482,214,113,101,Summer,32.605984,63.587017
Central Highland,22,Daykundi,2203,Khadir,2022-07-26,Flood / flash flood,0,0,1008,144,0,0,Summer,33.866089,65.787183
Western,30,Hirat,3010,Adraskan,2022-07-26,Flood / flash flood,2,0,283,45,8,37,Summer,33.72015,61.816468
Western,30,Hirat,3011,Farsi,2022-07-26,Flood / flash flood,0,0,231,33,12,21,Summer,33.854231,63.2841
Southern,33,Kandahar,3308,Maywand,2022-07-27,Flood / flash flood,0,0,137,19,19,0,Summer,31.56697,64.93499
Central Highland,22,Daykundi,2201,Nili,2022-07-27,Flood / flash flood,0,0,560,80,0,0,Summer,33.741085,66.078538
Southern,24,Zabul,2402,Arghandab,2022-07-27,Flood / flash flood,0,0,2379,251,236,15,Summer,32.499332,66.919664
Southern,23,Uruzgan,2303,Shahid-e-Hassas,2022-07-27,Flood / flash flood,0,0,18,3,2,0,Summer,32.932212,65.538666
Southern,33,Kandahar,3303,Zheray,2022-07-27,Flood / flash flood,6,2,78,10,9,1,Summer,31.6594,65.38371
Southern,24,Zabul,2406,Shahjoy,2022-07-27,Flood / flash flood,0,0,232,25,19,6,Summer,32.494161,67.350653
Southern,33,Kandahar,3304,Panjwayi,2022-07-27,Flood / flash flood,0,0,45,7,7,0,Summer,31.111277,65.198619
Southern,23,Uruzgan,2305,Khasuruzgan,2022-07-27,Flood / flash flood,0,0,605,68,68,0,Summer,32.977052,66.72913
Southern,23,Uruzgan,2301,Tirinkot,2022-07-27,Flood / flash flood,0,0,105,11,11,0,Summer,32.65496,65.849924
Southern,24,Zabul,2401,Qalat,2022-07-27,Flood / flash flood,0,0,362,43,42,1,Summer,32.187366,66.953465
Southern,24,Zabul,2403,Mizan,2022-07-27,Flood / flash flood,1,0,468,64,49,15,Summer,32.183381,66.500889
Southern,33,Kandahar,3301,Kandahar,2022-07-27,Flood / flash flood,2,1,357,48,47,1,Summer,31.518012,65.697431
Central Highland,22,Daykundi,2206,Shahrestan,2022-07-28,Flood / flash flood,0,0,875,125,0,0,Summer,33.694575,66.480494
Southern,23,Uruzgan,2302,Chora,2022-07-28,Flood / flash flood,0,0,247,28,28,0,Summer,33.02258,66.239689
South Eastern,25,Paktika,2510,Urgun,2022-07-29,Flood / flash flood,0,0,875,125,110,15,Summer,32.963344,69.206727
South Eastern,25,Paktika,2505,Zarghunshahr,2022-07-29,Flood / flash flood,0,0,42,6,5,1,Summer,32.874959,68.442357
South Eastern,11,Ghazni,1114,Muqur,2022-07-29,Flood / flash flood,0,0,40,4,4,0,Summer,32.92536,67.796249
South Eastern,11,Ghazni,1117,Malestan,2022-07-29,Flood / flash flood,0,0,84,9,9,0,Summer,33.279368,67.240794
South Eastern,11,Ghazni,1116,Ajrestan,2022-07-29,Flood / flash flood,0,0,19,2,2,0,Summer,33.520052,67.09681
South Eastern,25,Paktika,2502,Matakhan,2022-07-29,Flood / flash flood,0,0,21,3,3,0,Summer,33.279236,68.863407
Central Highland,22,Daykundi,2209,Miramor,2022-07-29,Flood / flash flood,0,0,2149,307,0,0,Summer,33.826512,66.987777
South Eastern,11,Ghazni,1111,Giro,2022-07-29,Flood / flash flood,0,1,948,133,132,1,Summer,33.064457,68.373547
South Eastern,11,Ghazni,1101,Ghazni,2022-07-29,Flood / flash flood,0,0,49,8,8,0,Summer,33.541807,68.441991
South Eastern,11,Ghazni,1118,Gelan,2022-07-29,Flood / flash flood,0,0,147,17,17,0,Summer,32.69335,67.670183
South Eastern,11,Ghazni,1110,Qarabagh,2022-07-29,Flood / flash flood,10,3,421,54,51,3,Summer,33.221892,67.999784
South Eastern,11,Ghazni,1105,Andar,2022-07-29,Flood / flash flood,0,0,8,1,1,0,Summer,33.296152,68.452393
South Eastern,11,Ghazni,1106,Dehyak,2022-07-29,Flood / flash flood,0,0,241,39,35,4,Summer,33.483589,68.702913
Southern,33,Kandahar,3302,Arghandab,2022-07-29,Flood / flash flood,0,0,23,3,3,0,Summer,31.723683,65.628921
Southern,33,Kandahar,3311,Spinboldak,2022-07-30,Flood / flash flood,4,3,4290,505,416,98,Summer,30.952222,66.135407
Eastern,7,Laghman,701,Mehtarlam,2022-08-01,Flood / flash flood,0,0,312,18,18,0,Summer,34.666954,70.071718
Eastern,7,Laghman,704,Alingar,2022-08-01,Flood / flash flood,0,0,77,11,7,4,Summer,34.833038,70.425705
South Eastern,12,Paktya,1201,Gardez,2022-08-01,Flood / flash flood,3,0,118,18,18,0,Summer,33.599864,69.229343
Capital,5,Logar,505,Charkh,2022-08-02,Flood / flash flood,0,0,157,25,12,13,Summer,33.822766,68.903957
Eastern,6,Nangarhar,616,Goshta,2022-08-04,Flood / flash flood,0,0,119,17,17,0,Summer,34.455504,70.877188
Southern,24,Zabul,2405,Shinkay,2022-08-06,Flood / flash flood,0,0,105,14,14,0,Summer,31.933383,67.180964
Southern,24,Zabul,2411,Nawbahar,2022-08-06,Flood / flash flood,0,0,158,25,25,0,Summer,32.199902,67.585131
Capital,4,Wardak,406,Chak,2022-08-10,Flood / flash flood,0,0,253,55,38,17,Summer,34.085404,68.516192
Capital,4,Wardak,407,Saydabad,2022-08-10,Flood / flash flood,1,0,61,13,9,4,Summer,33.934723,68.676363
South Eastern,12,Paktya,1204,Zurmat,2022-08-11,Flood / flash flood,0,0,357,51,35,16,Summer,33.422467,69.017192
South Eastern,12,Paktya,1206,Zadran,2022-08-11,Flood / flash flood,0,0,35,5,4,1,Summer,33.416216,69.424522
South Eastern,12,Paktya,1203,Ahmadaba,2022-08-11,Flood / flash flood,0,0,133,19,14,5,Summer,33.784922,69.345758
South Eastern,25,Paktika,2501,Sharan,2022-08-11,Flood / flash flood,0,0,126,18,18,0,Summer,33.21275,68.747296
South Eastern,12,Paktya,1201,Gardez,2022-08-11,Flood / flash flood,0,0,1673,239,170,69,Summer,33.599864,69.229343
South Eastern,12,Paktya,1207,Lija Ahmad Khel,2022-08-11,Flood / flash flood,0,0,7,1,1,0,Summer,33.797792,69.605362
Capital,4,Wardak,406,Chak,2022-08-12,Flood / flash flood,0,0,43,4,4,0,Summer,34.085404,68.516192
Capital,4,Wardak,407,Saydabad,2022-08-12,Flood / flash flood,0,0,910,122,86,36,Summer,33.934723,68.676363
Southern,23,Uruzgan,2305,Khasuruzgan,2022-08-12,Flood / flash flood,1,0,650,85,70,15,Summer,32.977052,66.72913
South Eastern,26,Khost,2606,Tani,2022-08-12,Flood / flash flood,0,0,179,21,20,1,Summer,33.204652,69.735546
Capital,4,Wardak,402,Jalrez,2022-08-12,Flood / flash flood,3,0,6,1,0,1,Summer,34.521442,68.589387
Capital,5,Logar,503,Mohammadagha,2022-08-12,Flood / flash flood,0,0,224,32,16,16,Summer,34.201218,69.194122
Capital,5,Logar,504,Barakibarak,2022-08-12,Flood / flash flood,1,0,126,18,15,3,Summer,33.901933,68.892873
South Eastern,26,Khost,2604,Nadirshahkot,2022-08-12,Flood / flash flood,0,1,915,125,101,20,Summer,33.386827,69.687169
South Eastern,26,Khost,2605,Mandozayi,2022-08-12,Flood / flash flood,4,6,1100,133,115,18,Summer,33.336522,69.803569
Capital,5,Logar,505,Charkh,2022-08-12,Flood / flash flood,0,0,966,138,68,70,Summer,33.822766,68.903957
Capital,5,Logar,501,Pul-e-Alam,2022-08-12,Flood / flash flood,0,0,431,68,33,35,Summer,33.991566,69.046969
Southern,23,Uruzgan,2301,Tirinkot,2022-08-12,Flood / flash flood,0,0,222,31,29,2,Summer,32.65496,65.849924
Central Highland,22,Daykundi,2205,Gizab,2022-08-12,Flood / flash flood,0,0,75,7,7,0,Summer,33.416592,66.183184
Southern,23,Uruzgan,2302,Chora,2022-08-12,Flood / flash flood,0,0,180,22,19,3,Summer,33.02258,66.239689
South Eastern,26,Khost,2601,Khost (Matun),2022-08-12,Flood / flash flood,0,4,1061,148,106,42,Summer,33.337571,69.91725
Capital,2,Kapisa,202,Nejrab,2022-08-13,Flood / flash flood,0,0,73,35,33,2,Summer,35.041318,69.632485
Eastern,7,Laghman,703,Qarghayi,2022-08-13,Flood / flash flood,0,0,329,47,47,0,Summer,34.543504,70.214523
Capital,2,Kapisa,205,Tagab,2022-08-13,Flood / flash flood,2,7,532,76,0,5,Summer,34.803659,69.649529
Southern,24,Zabul,2410,Shomulzay,2022-08-13,Flood / flash flood,1,0,48,7,7,0,Summer,31.834888,67.776621
Eastern,7,Laghman,702,Alishang,2022-08-13,Flood / flash flood,0,0,231,33,29,4,Summer,34.866429,70.072183
Eastern,7,Laghman,701,Mehtarlam,2022-08-13,Flood / flash flood,0,0,1510,247,188,59,Summer,34.666954,70.071718
Eastern,7,Laghman,704,Alingar,2022-08-13,Flood / flash flood,0,0,1309,187,177,11,Summer,34.833038,70.425705
Capital,3,Parwan,307,Ghorband,2022-08-14,Flood / flash flood,6,15,285,59,21,38,Summer,34.987058,68.799341
Capital,3,Parwan,303,Shinwari,2022-08-14,Flood / flash flood,5,6,496,129,26,103,Summer,35.135028,68.973098
Eastern,6,Nangarhar,603,Surkhrod,2022-08-15,Flood / flash flood,0,0,371,53,53,0,Summer,34.420676,70.317617
Eastern,6,Nangarhar,605,Chaparhar,2022-08-15,Flood / flash flood,0,0,336,48,48,0,Summer,34.298027,70.367422
Eastern,7,Laghman,703,Qarghayi,2022-08-15,Flood / flash flood,0,1,93,31,31,0,Summer,34.543504,70.214523
Eastern,6,Nangarhar,601,Jalalabad,2022-08-15,Flood / flash flood,0,0,9310,1330,1148,182,Summer,34.419822,70.436525
South Eastern,26,Khost,2604,Nadirshahkot,2022-08-16,Flood / flash flood,0,0,142,18,18,0,Summer,33.386827,69.687169
Eastern,13,Kunar,1312,Ghaziabad,2022-08-17,Flood / flash flood,0,0,24,4,4,0,Summer,35.209863,71.320771
Eastern,13,Kunar,1308,Chawkay,2022-08-17,Flood / flash flood,1,3,203,29,23,6,Summer,34.745481,70.862733
Eastern,13,Kunar,1309,Khaskunar,2022-08-17,Flood / flash flood,0,0,259,37,19,18,Summer,34.599138,70.919872
Eastern,13,Kunar,1302,Watapur,2022-08-17,Flood / flash flood,0,0,35,5,5,0,Summer,34.972029,71.079464
Eastern,14,Nuristan,1407,Kamdesh,2022-08-17,Flood / flash flood,12,20,454,64,23,41,Summer,35.470783,71.312139
Eastern,13,Kunar,1305,Marawara,2022-08-17,Flood / flash flood,0,0,343,49,49,2,Summer,34.856211,71.219828
Eastern,13,Kunar,1307,Dara-e-Pech,2022-08-17,Flood / flash flood,0,0,105,15,15,0,Summer,34.931473,70.911379
Eastern,6,Nangarhar,608,Kuzkunar,2022-08-20,Flood / flash flood,0,0,49,7,7,0,Summer,34.579197,70.569434
Capital,4,Wardak,405,Daymirdad,2022-08-20,Flood / flash flood,0,0,58,6,6,0,Summer,34.202833,68.323237
Capital,5,Logar,504,Barakibarak,2022-08-20,Flood / flash flood,0,0,63,9,8,1,Summer,33.901933,68.892873
Eastern,6,Nangarhar,601,Jalalabad,2022-08-20,Flood / flash flood,0,4,602,86,58,28,Summer,34.419822,70.436525
Capital,5,Logar,501,Pul-e-Alam,2022-08-20,Flood / flash flood,0,0,903,129,91,38,Summer,33.991566,69.046969
Eastern,6,Nangarhar,618,Shinwar,2022-08-20,Flood / flash flood,2,0,70,10,10,0,Summer,34.205904,70.816901
Eastern,6,Nangarhar,604,Khogyani,2022-08-20,Flood / flash flood,1,12,196,28,20,8,Summer,34.446776,70.68128
Eastern,6,Nangarhar,622,Durbaba,2022-08-20,Flood / flash flood,0,0,126,18,15,3,Summer,34.098842,70.943709
Eastern,6,Nangarhar,605,Chaparhar,2022-08-20,Flood / flash flood,0,0,560,80,76,4,Summer,34.298027,70.367422
Eastern,6,Nangarhar,609,Dara-e-Nur,2022-08-20,Flood / flash flood,0,0,217,31,31,0,Summer,34.717402,70.599527
Eastern,6,Nangarhar,606,Rodat,2022-08-20,Flood / flash flood,0,0,742,106,61,45,Summer,34.256662,70.550781
Eastern,6,Nangarhar,611,Sherzad,2022-08-20,Flood / flash flood,0,0,21,3,3,0,Summer,34.181064,69.928431
Capital,5,Logar,503,Mohammadagha,2022-08-20,Flood / flash flood,0,0,357,51,27,24,Summer,34.201218,69.194122
Eastern,6,Nangarhar,615,Batikot,2022-08-20,Flood / flash flood,1,0,1106,158,108,50,Summer,34.304829,70.721243
Capital,4,Wardak,407,Saydabad,2022-08-20,Flood / flash flood,0,0,274,36,26,10,Summer,33.934723,68.676363
Capital,4,Wardak,406,Chak,2022-08-20,Flood / flash flood,0,0,260,33,25,8,Summer,34.085404,68.516192
Capital,5,Logar,502,Khoshi,2022-08-20,Flood / flash flood,4,10,3136,448,222,226,Summer,33.992404,69.292073
Eastern,6,Nangarhar,616,Goshta,2022-08-20,Flood / flash flood,1,0,301,43,30,13,Summer,34.455504,70.877188
Eastern,6,Nangarhar,619,Muhmand Dara,2022-08-20,Flood / flash flood,0,0,21,3,3,0,Summer,34.225081,70.971158
Eastern,6,Nangarhar,603,Surkhrod,2022-08-20,Flood / flash flood,0,0,371,53,53,0,Summer,34.420676,70.317617
Eastern,6,Nangarhar,621,Nazyan,2022-08-20,Flood / flash flood,0,0,112,16,16,0,Summer,34.055839,70.799091
Eastern,6,Nangarhar,607,Kama,2022-08-20,Flood / flash flood,0,0,14,2,2,0,Summer,34.446776,70.68128
Eastern,6,Nangarhar,617,Achin,2022-08-20,Flood / flash flood,2,3,126,18,8,10,Summer,34.056653,70.650371
Eastern,6,Nangarhar,614,Kot,2022-08-20,Flood / flash flood,0,0,28,4,4,0,Summer,34.304829,70.721243
Capital,1,Kabul,106,Musayi,2022-08-22,Flood / flash flood,0,0,518,74,29,18,Summer,34.374942,69.165458
Southern,33,Kandahar,3310,Shorabak,2022-08-22,Flood / flash flood,0,0,319,43,43,0,Summer,30.196942,66.033526
Southern,33,Kandahar,3301,Kandahar,2022-08-22,Flood / flash flood,0,0,218,25,18,7,Summer,31.518012,65.697431
Southern,33,Kandahar,3306,Shahwalikot,2022-08-22,Flood / flash flood,0,1,540,62,59,3,Summer,32.139936,66.033262
Southern,33,Kandahar,3311,Spinboldak,2022-08-22,Flood / flash flood,7,37,1327,152,107,45,Summer,30.952222,66.135407
Southern,24,Zabul,2405,Shinkay,2022-08-23,Flood / flash flood,0,0,353,47,47,0,Summer,31.933383,67.180964
Southern,24,Zabul,2411,Nawbahar,2022-08-23,Flood / flash flood,0,0,593,69,67,2,Summer,32.199902,67.585131
Southern,33,Kandahar,3308,Maywand,2022-08-23,Flood / flash flood,0,0,42,6,6,0,Summer,31.56697,64.93499
Southern,24,Zabul,2406,Shahjoy,2022-08-23,Flood / flash flood,0,0,163,17,17,0,Summer,32.494161,67.350653
Eastern,7,Laghman,703,Qarghayi,2022-08-24,Flood / flash flood,0,0,189,27,27,0,Summer,34.543504,70.214523
Western,31,Farah,3109,Gulestan,2022-08-25,Flood / flash flood,0,0,2958,74,11,63,Summer,32.605984,63.587017
Eastern,13,Kunar,1307,Dara-e-Pech,2022-08-26,Flood / flash flood,0,0,21,3,3,0,Summer,34.931473,70.911379
Eastern,13,Kunar,1305,Marawara,2022-08-26,Flood / flash flood,0,0,27,3,3,0,Summer,34.856211,71.219828
Eastern,13,Kunar,1301,Asadabad,2022-08-26,Flood / flash flood,0,0,49,7,7,0,Summer,34.859883,71.117064
Eastern,13,Kunar,1309,Khaskunar,2022-08-26,Flood / flash flood,0,0,105,15,1,14,Summer,34.599138,70.919872
Eastern,6,Nangarhar,603,Surkhrod,2022-08-26,Flood / flash flood,0,0,637,91,91,0,Summer,34.420676,70.317617
